FID,GEOID10,AREA_SQFT,AREA_ACRES,POP100_RE,HU100_RE,TotDis,TotChild,OlderAdult,Low_to_No,LEP,POC2,MedIllnes,Name,Shape__Area,Shape__Length
84,25025092200,6256656.21,143.6331,3349,1227,370,558,241,692,933,2609,1214.13,Dorchester,6.3458792961e-05,0.035939225499548
85,25025092000,5271120.79,121.0083,4945,1693,762,1532,476,1816,2292,4687,1751.7,Dorchester,5.3466763131e-05,0.038110564648525
86,25025091900,5187639.74,119.0918,3860,1380,674,1055,381,1180,1561,3766,1342.99,Dorchester,5.262095017e-05,0.030155859622428
87,25025091800,4650342.47,106.7572,3452,1214,515,949,311,1169,1480,3320,1215.35,Dorchester,4.7175650032e-05,0.029307006155612
88,25025091700,3114052.12,71.4888,3069,1050,465,964,175,1457,1632,2869,1043.21,Dorchester,3.1588831937e-05,0.029940840526629
89,25025091600,3365584.51,77.2632,3138,1165,625,1193,370,1984,2354,2753,1063.01,Dorchester,3.4141656819e-05,0.032357309187041
90,25025050101,3226514.74,74.0706,5115,1850,920,1270,526,2063,2589,3687,1768.04,East Boston,3.2769063978e-05,0.042397305543756
91,25025050901,6618679.35,151.944,4165,1446,463,830,229,1587,1816,2950,1482.12,East Boston,6.7221395878e-05,0.067752118964479
92,25025060501,4431658.04,101.7369,3571,1942,234,324,269,437,706,228,1457.68,South Boston Waterfront,4.4977917159e-05,0.040815973343211
93,25025140107,6752343.7,155.0125,2531,1051,228,589,347,322,669,1640,985.73,Hyde Park,6.8446579125e-05,0.047299441561954
94,25025130404,17628731.82,404.7,2901,1322,305,488,613,286,899,847,1252.41,West Roxbury,0.000178727353009,0.057927033715211
95,25025981202,17165825.45,394.0731,207,0,0,0,0,0,0,52,78.27,South Boston Waterfront,0.000174234567974,0.177193131414719
96,25025040100,2791324.87,64.08,2168,1239,141,322,290,214,504,116,917.28,Charlestown,2.8345860564e-05,0.030421164279921
97,25025040600,15428730.63,354.1949,2444,1334,176,326,318,387,705,209,1012.23,Charlestown,0.000156700822931,0.110420663480057
98,25025000602,6455495.77,148.1978,3974,2035,584,454,546,1676,2222,1837,1548.04,Brighton,6.5530906505e-05,0.039888981131746
99,25025000601,5328243.45,122.3196,3571,1525,205,276,334,829,1163,1091,1429.35,Brighton,5.4090060367e-05,0.051823362917918
100,25025000502,12898832.45,296.1164,6303,2041,460,98,304,1043,1347,1584,2473.17,Brighton,0.000130912077442,0.06224180792889
101,25025000402,8683342.13,199.3421,3648,1543,170,540,367,1117,1484,914,1399.95,Brighton,8.8139199709e-05,0.038641320247375
102,25025130406,11351426.76,260.5929,5107,2192,430,1444,614,1911,2525,3513,1845.94,West Roxbury,0.000115070298606,0.056603070460134
