X,Y,OBJECTID,Address,Notes,AP_Name,Neighborhood
-71.082437346884916,42.328736830548451,13630,"174 Dudley St., Roxbury, MA","need location verification & photo; front roof facing Dudley",ROX-BFDE14-AP2,Roxbury
-71.079269658122712,42.328560348750656,13631,"Dudley St. & Mt. Pleasant Ave., Roxbury, MA",need location verification & photo,ROX-BFDE14-AP3,Roxbury
-71.075002339824579,42.322821451232301,13632,"Dennis St. & Winthrop St., Roxbury, MA",need address verification & photo,ROX-EMERSON-AP3,Roxbury
-71.08289330836692,42.309658403104699,13633,"683 Warren St., Roxbury, MA",need address verification & photo,ROX-GROVEHALL-AP4,Roxbury
-71.079800836441777,42.307085037255767,13634,"Bishop Joe L Smith Way & Geneva Ave., Roxbury, MA",need address verification & photo,ROX-GROVEHALL-AP10,Roxbury
-71.051446350830076,42.329067954565303,13635,"1163 Columbia Rd., South  Boston, MA",need address verification & photo,SB-CURLEY-AP3,South Boston
-71.052604429249953,42.32989684777629,13636,"360 Old Colony Ave., South Boston, MA",need address verification & photo,SB-OLLIE-AP2,South Boston
-71.082756529983456,42.328607939605511,14030,"175 Dudley St., Roxbury, MA","need location verification& photo; on traffic signal",ROX-BFDE14-AP4,Roxbury
-71.097953977330221,42.318382075157984,14031,"1870 Columbus Ave., Roxbury, MA",need location verification & photo,ROX-BFDE42-AP1,Roxbury
-71.0834538795621,42.327841064314804,14032,"65 Warren St., Roxbury, MA",need location verification & photo,ROX-BPL-AP3,Roxbury
-71.083341227232225,42.325965148850038,14033,"Warren St. & Moreland St., Roxbury, MA",need location verification & photo,ROX-BPL-AP4,Roxbury
-71.074972970304685,42.308717008131929,14034,"270 Columbia Rd., Roxbury, MA",need address verification & photo,ROX-FREDERICK-AP1,Roxbury
-71.091008190078696,42.315441553821792,14036,"Harold St. & Waumbeck St., Roxbury, MA",need address verification & photo,ROX-TROTTER-AP4,Roxbury
-71.051580461217156,42.329024330156777,14037,"1163 Columbia Rd., South Boston, MA",need address verification & photo,SB-CURLEY-AP1,South Boston
-71.051446350830076,42.329155203291535,14038,"1163 Columbia Rd., South  Boston, MA",need address verification & photo,SB-CURLEY-AP2,South Boston
-71.084006683025009,42.32834176175183,14430,"2400 Washington St., Roxbury, MA",need location verification & photo,ROX-BPDB2-AP2,Roxbury
-71.084044234400523,42.328091908969043,14431,"2400 Washington St., Roxbury, MA",need location verification & photo,ROX-BPDB2-AP3,Roxbury
-71.083646998483559,42.328043326183767,14432,"65 Warren St., Roxbury, MA",need location verification & photo,ROX-BPL-AP1,Roxbury
-71.081776808469968,42.310228062893309,14433,"8 Stanwood St., Roxbury, MA",need address verification & photo,ROX-GROVEHALL-AP6,Roxbury
-71.082967708635394,42.308665027615184,14434,"476 Blue Hill Ave., Roxbury, MA",need address verification & photo,ROX-GROVEHALL-AP7,Roxbury
-71.077715943685405,42.306439419390017,14435,"Oldfields Rd. & Columbia Rd., Roxbury, MA",need address verification & photo,ROX-GROVEHALL-AP8,Roxbury
-71.076406689582967,42.314161718392242,14436,"Wayland St. & Balfour St., Roxbury, MA",need address verification & photo,ROX-GROVEHALL-AP9,Roxbury
-71.077534430997403,42.330656463317681,14437,"906 Albany St., Roxbury, MA",need address verification & photo,ROX-ORCHARD-AP2,Roxbury
