X,Y,gid,Name,description,OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STArea__,Shape_STLength__,ShapeSTArea,ShapeSTLength,PARK_ID,REGION
-71.0645931078626,42.3716375851314,557,,,8381,Galvin Green,Commonwealth of Massachusetts,CAT Mit,1,Charlestown,5.13,,Open Space District,"Malls, Squares & Plazas",NULL,,N,X,,,0,0,223494.688964844,5169.56758428544,,INFO_Reallocation From Dept
-71.0588057074002,42.3476289898019,558,,,8382,I-90 Interchange,MassDOT,CAT Mit,7,Central Boston,1.54,,Special District,"Malls, Squares & Plazas",NULL,MassDOT,N,,,,0,0,66995.62109375,1007.37508293479,,INFO_Reallocation From Dept
-71.0566850455935,42.3626633394321,559,,,8383,North End Park,MassDOT,A97/CAT Mit/RFK,1,Central Boston,2.83,,Special District,"Malls, Squares & Plazas",RFK Greenway Conservancy,,X,X,Kennedy Greenway Parcels 8&10,,0,0,123174.574951172,2086.97328454779,,INFO_Reallocation From Dept
-71.105554969838,42.2747513613007,562,,,8386,Mattahunt Woods III,City of Boston,WPA,6,Mattapan,3.57,,Residential District,Urban Wilds & Natural Areas,NULL,n/a,N,,,DND,0,0,155324.216308594,3624.44759942865,,PARK_Maintenance_Ground Maintenance
-71.0683536308198,42.3491280195632,563,,,8387,Bay Village Garden,City of Boston,A97,5,Central Boston,0.02,,Open Space District,Community Gardens,BPRD,Private,X,X,Melrose Park,BPRD,0,0,790.737060546875,112.305234971414,016,PARK_Maintenance_Ground Maintenance
-71.0610772272586,42.3587853893318,564,,,8388,Pemberton Square Access,City of Boston,,1,Central Boston,0.13,,Special District,"Malls, Squares & Plazas",NULL,,N,X,,,0,0,5505.28173828125,440.071817212537,,PARK_Maintenance_Ground Maintenance
-71.082915733008,42.3481245544422,565,,,8389,Prudential Center Plaza II,Private,,1,Back Bay/Beacon Hill,1.09,,Special District,"Malls, Squares & Plazas",NULL,,N,X,,,0,0,47584.1572265625,980.603951083286,,INFO_Reallocation From Dept
-71.0823330679401,42.346659225438,566,,,8390,Prudential Center Plaza III,Private,,1,Back Bay/Beacon Hill,1.02,,Special District,"Malls, Squares & Plazas",NULL,,N,X,,,0,0,44570.9362792969,994.888873065318,,INFO_Reallocation From Dept
-71.051283449863,42.3573190976123,560,,,8384,Wharf District Park,MassDOT,A97/CAT Mit/RFK,1,Central Boston,4.71,,Special District,"Malls, Squares & Plazas",RFK Greenway Conservancy,,X,X,Kennedy Greenway Parcels 14-17,,0,0,205210.583496094,3896.12299158789,,INFO_Reallocation From Dept
-71.1278352751392,42.2641275940903,561,,,8385,McGann Park,City of Boston,A97,3,Roslindale,0.88,420 West Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,,X,X,,,0,0,38368.0754394531,912.454840710575,192,PARK_Maintenance_Ground Maintenance
-71.1403855476618,42.3443425051136,579,,,8403,Brian Honan Park,Private,A97/CR,3,Allston-Brighton,0.45,Allston Street,Residential District,"Parks, Playgrounds & Athletic Fields",BCC,Private,X,X,,,0,0,41975.0712890625,1141.82149606579,,INFO_Reallocation From Dept
-71.1158097710311,42.2995889432372,567,,,8391,Bussey Brook Meadow II,MBTA,,6,Roslindale,1.17,Opposite 376 Arborway Str.,Open Space District,Urban Wilds & Natural Areas,NULL,,N,X,Arnold Arboretum IV,MBTA,0,0,54784.0222167969,1355.19956486585,,INFO_Reallocation From Dept
-71.1438606752868,42.3542300375373,568,,,8392,North Beacon Allee,Private,,1,Allston-Brighton,0.84,,Conservation Protection Subdistrict,"Malls, Squares & Plazas",NULL,,N,,,,0,0,36673.3354492188,1016.65014643467,,INFO_Reallocation From Dept
-71.0416471419359,42.3664881057879,569,,,8393,Lewis Mall Harborpark,City of Boston,WPA/Ch91,1,East Boston,0.25,,Special District,"Malls, Squares & Plazas",NULL,,N,X,,,0,0,11023.6511230469,555.124759226757,,INFO_Reallocation From Dept
-71.0910292980359,42.3041272922279,570,,,8394,Franklin Park II,City of Boston,A97/Lease,3,Roxbury,16.44,,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR,Zoo New England,X,X,"""Sausage Lot""",DCR,0,0,716128.204589844,5477.28763713544,,INFO_Reallocation From Dept
-71.1417139273798,42.2737424930085,571,,,8395,St. John Chrysostom Tract,Private,100,6,West Roxbury,4.31,,Residential District,Urban Wilds & Natural Areas,NULL,,N,,,,0,0,187543.765869141,2206.76047245888,,INFO_Reallocation From Dept
-71.060266690725,42.378615266655,572,,,8396,O'Reilly Way Court,BHA,,3,Charlestown,0.53,,Residential District,"Parks, Playgrounds & Athletic Fields",NULL,BHA,N,X,,,0,0,23037.2668457031,768.425595500269,,INFO_Reallocation From Dept
-71.0944206787419,42.2894946911238,573,,,8397,Canterbury Brookside I,Commonwealth of Massachusetts,WPA/100,6,Mattapan,3.57,,Special District,Urban Wilds & Natural Areas,NULL,,N,,,,0,0,142746.635253906,2424.97844561123,,INFO_Reallocation From Dept
-71.0418082296401,42.3814438302626,574,,,8398,South Shore Plaza Courts,Private,WPA/Ch91,3,East Boston,0.23,,Special District,"Parks, Playgrounds & Athletic Fields",NULL,,N,,,,0,0,10181.2375488281,403.671116288941,,INFO_Reallocation From Dept
-71.041024866031,42.3814793562591,575,,,8399,South Shore Plaza Park,Private,,1,East Boston,0.5,,Special District,"Malls, Squares & Plazas",NULL,,N,,,,0,0,21699.4763183594,625.501956086587,,INFO_Reallocation From Dept
-71.0647229432888,42.3648443018686,576,,,8400,West End Recreation Complex,Private,,3,Central Boston,3.42,,Residential District,"Parks, Playgrounds & Athletic Fields",NULL,,N,,,,0,0,149003.331542969,2290.24107897526,,INFO_Reallocation From Dept
-71.0652257156037,42.3644136697335,577,,,8401,Thoreau Path,Private,,1,Central Boston,3.86,,Residential District,"Malls, Squares & Plazas",City of Boston,,N,X,West End Walk,,0,0,167999.506103516,4315.03825688355,,INFO_Reallocation From Dept
-71.0359370939734,42.3124316487901,578,,,8402,UMass Boston Campus Ctr Oval,Commonwealth of Massachusetts,WPA/Ch91,1,Dorchester,1.66,,Institutional District,"Malls, Squares & Plazas",NULL,,N,X,,,0,0,72599.9914550781,965.465948403938,,INFO_Reallocation From Dept
-71.1470263906756,42.3470815409245,581,,,8405,St. Elizabeth's Hospital Campus,Private,,1,Allston-Brighton,4.86,,Conservation Protection Subdistrict,"Malls, Squares & Plazas",NULL,,N,X,,,0,0,211857.214355469,2395.3920193411,,INFO_Reallocation From Dept
-71.1343960292674,42.2999591055144,582,,,8406,Allandale Woods II,City of Boston,LWCF/A97/WPA,6,West Roxbury,10.59,,Open Space District,Urban Wilds & Natural Areas,BCC,BPRD,X,X,Brandagee Estate & Recuperative Center Parcels,,0,0,461736.414550781,3521.63176948889,,PARK_Maintenance_Ground Maintenance
-71.0937239701261,42.3272841868381,583,,,8407,Allan Crite Garden II,BRA,,5,Roxbury,0.04,,Open Space District,Community Gardens,BNAN_TTOR,Cooper Community Garden Ctr,N,,,,0,0,1609.35571289062,194.855279521945,,INFO_Reallocation From Dept
-71.0329321224572,42.3656240357024,584,,,8408,East Boston Social Centers Playlot,Private,,3,East Boston,0.33,,Residential District,"Parks, Playgrounds & Athletic Fields",NULL,,N,,,,0,0,14764.4233398438,486.495728284152,,INFO_Reallocation From Dept
-71.0605378111425,42.3516518294821,585,,,8409,Oxford Place Plaza,Private,,3,Central Boston,0.05,,Special District,"Malls, Squares & Plazas",NULL,,N,X,,,0,0,2039.81176757812,178.740414201327,,INFO_Reallocation From Dept
-71.1058872777973,42.2750133490197,586,,,8410,Mattahunt Woods II,Private,WPA,6,Mattapan,3.74,"Livermore, Canaan, Itasca & Alabama Sts.",Residential District,Urban Wilds & Natural Areas,NULL,n/a,N,,,n/a,0,0,162700.966796875,6208.26877067661,,INFO_Reallocation From Dept
-71.1055714070118,42.2740563910113,587,,,8411,Mattahunt Woods Buffer,Private,,6,Mattapan,1.02,,Residential District,Urban Wilds & Natural Areas,NULL,n/a,N,,,n/a,0,0,44718.1394042969,972.756297606189,,INFO_Reallocation From Dept
-71.1036993534105,42.2750729990608,588,,,8412,Mattahunt School Woods,City of Boston,,6,Mattapan,0.96,,Residential District,Urban Wilds & Natural Areas,NULL,n/a,N,X,,BPS,0,0,129744.450439453,2790.45129766461,,INFO_Reallocation From Dept
-71.1048353658863,42.2753255188242,589,,,8413,Mattahunt Schoolyard,City of Boston,,3,Mattapan,3.31,,Residential District,"Parks, Playgrounds & Athletic Fields",NULL,BPS,N,X,,BPS,0,0,143364.266601562,2528.80734488253,,INFO_Reallocation From Dept
-71.1037192636103,42.276006238479,590,,,8414,Mattahunt School Entrance Plaza,City of Boston,,1,Mattapan,0.37,,Residential District,"Malls, Squares & Plazas",NULL,BPS,N,X,,BPS,0,0,16007.7060546875,722.782529055731,,INFO_Reallocation From Dept
